"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5TZn3LQSWwVPnBlPgFKb54","American Jesus","spotify:artist:2yJwXpWAQOOl5XFzbCxLs9","Bad Religion","spotify:album:1DMLunJrzPkQws2uQU797l","Recipe For Hate","spotify:artist:2yJwXpWAQOOl5XFzbCxLs9","Bad Religion","1993-09-21","https://i.scdn.co/image/ab67616d0000b27304047acfa8e18bcc64832359","1","3","197666","https://p.scdn.co/mp3-preview/9ef8773a48ebc0f2c278bb886fb923c6b0c0e703?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","","2020-12-03T17:37:05Z"
"spotify:track:1fQaoh3imrMunWVZh5kf90","Shepherd of Fire","spotify:artist:0nmQIMXWTXfhgOBdNzhGOs","Avenged Sevenfold","spotify:album:0ks45m1bsP2JsZpM5D2FFA","Hail to the King","spotify:artist:0nmQIMXWTXfhgOBdNzhGOs","Avenged Sevenfold","2013-08-23","https://i.scdn.co/image/ab67616d0000b2730ea1ecb2d5271c2db402b0c2","1","1","323800","https://p.scdn.co/mp3-preview/5e5c3d372ec98fb7ae98cdb723eb7ed6cf86ce6d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","","2020-12-03T17:16:37Z"
"spotify:track:5anCkDvJ17aznvK5TED5uo","Hail to the King","spotify:artist:0nmQIMXWTXfhgOBdNzhGOs","Avenged Sevenfold","spotify:album:0ks45m1bsP2JsZpM5D2FFA","Hail to the King","spotify:artist:0nmQIMXWTXfhgOBdNzhGOs","Avenged Sevenfold","2013-08-23","https://i.scdn.co/image/ab67616d0000b2730ea1ecb2d5271c2db402b0c2","1","2","305906","https://p.scdn.co/mp3-preview/98789a401a319f3d9cbae41c6c89630154c0998c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","","2020-12-03T17:16:36Z"
"spotify:track:1wszv8hywwMIZPhllEy5TD","One Sound (feat. Gramps Morgan)","spotify:artist:78u1jLVBjPSXQVmHBV43yG, spotify:artist:7eA9Vth6x4I2V5kW7RlREX","Alborosie, Gramps Morgan","spotify:album:2wrZVi0cgQtRhpYytAHpdD","Escape From Babylon","spotify:artist:78u1jLVBjPSXQVmHBV43yG","Alborosie","2010-04-15","https://i.scdn.co/image/ab67616d0000b2733c7b9de1430d2579612af854","1","10","241973","https://p.scdn.co/mp3-preview/bdc4188a59ba20fae95a66d22fae054eb8e66fc3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","","2020-12-03T16:29:00Z"
"spotify:track:1L6vtkHvjKWBIym93FmSPP","Smooth","spotify:artist:6N4HlHINMvoTyAL0yhBUCk","Saib","spotify:album:0QdTwm7awdhqUMJ55IqY2N","Smooth","spotify:artist:6N4HlHINMvoTyAL0yhBUCk","Saib","2017-05-11","https://i.scdn.co/image/ab67616d0000b27388413e95999f7e4e739492fb","1","1","122252","https://p.scdn.co/mp3-preview/02decf2fbec2d98d844a219f12f4df64fb47d634?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","","2020-12-03T16:17:45Z"
"spotify:track:19wf3NcrBwtETHC8aCzzpU","Policía Policía UPJ","spotify:artist:5XdSK8W01DoFqqTTBOtY5Q","El Mouse","spotify:album:1PPqjaNN6NSOo9XbYN1uLD","Policía Policía UPJ","spotify:artist:5XdSK8W01DoFqqTTBOtY5Q","El Mouse","2020-06-16","https://i.scdn.co/image/ab67616d0000b273f9a2567cd3620498bdcb31cc","1","1","122090","https://p.scdn.co/mp3-preview/a22678a1e758ac930e2753ee1c659c47430cfcd9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","28","","2020-10-02T04:06:21Z"
"spotify:track:6hHpXo2XMMKR5lIfa19aLM","Get Out Alive","spotify:artist:2xiIXseIJcq3nG7C8fHeBj","Three Days Grace","spotify:album:4ZDwEvXIKxWdwhAQK8ndBU","One-X","spotify:artist:2xiIXseIJcq3nG7C8fHeBj","Three Days Grace","2006-06-25","https://i.scdn.co/image/ab67616d0000b2739dcf31d6b5eb82fa24de783a","1","7","262493","https://p.scdn.co/mp3-preview/2cf61249eef655a01b2a66947dadd736e416a399?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","","2020-09-17T03:12:57Z"
"spotify:track:1nbMkRhfldXcmCyB83x8lK","Take On Me","spotify:artist:2jzc5TC5TVFLXQlBNiIUzE","a-ha","spotify:album:2nvTm82RzlrbX0yhb7Tsbn","Rhino Hi-Five: A-Ha","spotify:artist:2jzc5TC5TVFLXQlBNiIUzE","a-ha","2005-07-19","https://i.scdn.co/image/ab67616d0000b273930fa92e710c0a770f3e4035","1","3","227146","","false","0","","2020-09-16T22:28:46Z"
"spotify:track:20OFwXhEXf12DzwXmaV7fj","Bad Moon Rising","spotify:artist:3IYUhFvPQItj6xySrBmZkd","Creedence Clearwater Revival","spotify:album:0i9mOB6mPGqwVvtJEXiwPG","Green River","spotify:artist:3IYUhFvPQItj6xySrBmZkd","Creedence Clearwater Revival","1969-08-03","https://i.scdn.co/image/ab67616d0000b2733efcd243aaa5638f55318f91","1","5","141600","https://p.scdn.co/mp3-preview/d72d90d6c6f6d6d7348f42271b7af6d06878ac07?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","","2020-09-16T22:26:18Z"
"spotify:track:4BP3uh0hFLFRb5cjsgLqDh","Fortunate Son","spotify:artist:3IYUhFvPQItj6xySrBmZkd","Creedence Clearwater Revival","spotify:album:31q47gQszFt0CddSyMksgO","Willy And The Poor Boys","spotify:artist:3IYUhFvPQItj6xySrBmZkd","Creedence Clearwater Revival","1969-11-02","https://i.scdn.co/image/ab67616d0000b2739f39192f9f8ca1c90847b3e5","1","6","140773","https://p.scdn.co/mp3-preview/3136857b0f683af80257d8641b8e2680ddd8f2ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","","2020-09-16T22:25:23Z"
"spotify:track:3pa1twfh1McWMyKH3Z5Tvb","Dig Your Own Hole","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","spotify:album:0FjHy5dCyVROqDUl6f2VTK","Dig Your Own Hole","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","1997-01-01","https://i.scdn.co/image/ab67616d0000b273df9f87a1ff07a1bb500ad75f","1","2","327266","https://p.scdn.co/mp3-preview/07f6254e13936ae1570c24c082795152c9e0ea69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","","2020-09-16T22:14:08Z"
"spotify:track:3vVlScRCPisn6VPs40VdL2","Chemical Beats","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","spotify:album:1Bmuyq89rXZJNK1w8pauEg","Exit Planet Dust","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","1995-01-01","https://i.scdn.co/image/ab67616d0000b2732d47d65f2938c9da2ff7f57c","1","6","290333","https://p.scdn.co/mp3-preview/7856e9b6715632d52da803b626b9932a239fdbb3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","","2020-09-16T22:11:59Z"
"spotify:track:6WKlbp24TraMPpWhQtU1Kp","Eve Of Destruction","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","spotify:album:7d1KwAPdMEBqCERVsKRUox","No Geography","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","2019-04-12","https://i.scdn.co/image/ab67616d0000b273a6eda16f17371a30534b4bba","1","1","280400","https://p.scdn.co/mp3-preview/d97272b660ab503b2b734bb35e871e1404e1dc54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","","2020-09-16T22:11:06Z"
"spotify:track:74n36gnS7xS0BjXefMbp8h","Saturate","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","spotify:album:59BUTEyxgum2KPZMwrJjVr","We Are The Night","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","2007-06-27","https://i.scdn.co/image/ab67616d0000b273e70a17eb4f76721f1344310e","1","4","289520","https://p.scdn.co/mp3-preview/15dda7e60bcb0748b48dceb72c338d26fd0fa6cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","","2020-09-16T22:11:01Z"
